ID,tweet,country
1329189110272036864t,  Where is the data that there are no long term effects I have multiple autoimmune diseases and meet 3 of the exclusion criteria for the COVID vaccine trials How do you know the longterm effects on people with my medical conditions Provide data,0
1334166193301835776t, Agreed If anyone wants to take a vaccine codeveloped by a Chinese company,1
1336009161654620162t,Whats ethical about an advert encouraging pregnant women to get vaccinated for their unborn babies sake when theres no research Pfizer vaccination Covid19UK pregnancy,0
1284272296325152768t, watch through this and see hoe USA tested A CORONA VIRUS vaccine on PHILIPPINES CHILDREN KILLING SOME OF THEM ,1
1338553618912272385t, Even if we didnt have a vaccine the US economy should be fully opened NOW   Covid19 which originated in Wuhan has a 997 survival rate   Its apparent this is part of the Great Reset in the direction of Communism   Open up the US Economy NOW,1
1348994743632449538t,      Oxford is fine but you may get Bharat Biotect when you actually go to take it Bharat biotect has started arriving for vaccination That vaccine has not finished phase 3 or published data like others If u refuse whats given 2 u at center You may not get anything for months,0
1290342462121291780t,   I am Im not an antivaxxer by any means Or at least I wasnt This covid vaccine has made me question my stance Regardless though s vaccine built in less than a year being pushed by a guy who has no medical expert and made by the Chinese who have started the virus to ,1
1344782762155397129t, Im not taking the vaccine but tainting the vaccine that others may take should be a severe federal offense I propose Death Row,0
1326480829103616001t,Idc if the vaccine Pfizer created is 100 effective and gives you super powers still not taking that shit tf,0
1270071757903400962t, This is it Not until they have the misfortune to glibly give a vaccine and watch their child go into convulsions become permanently damaged or die will they regret not having done the research instead of supercilious self righteous mockery Vaccines are Russian roulette,1
1330013327477641216t,BioNtech wont be entering into my body My body is mine under God for as long as my soul does dwell My soul of life will not  is not made to be morphed with corruptible tech Fools of the last 2 millenniums below Say no before they say yes  ,0
1289602126293790720t, NIH owns half of the key patents for the Covid vaccine NIHs stake in the vaccine explains why Fauci let Mederna skip animal trials Money Money Money,0
1340351787228950531t,10 Ive said it before but its worth repeating Anyone who is concerned about how quickly CovidVaccines have been developed should listen to ACIP meetings Dozens of experts are kicking the tires of the Moderna data really hard ,0
1293244286792806400t,I dont want no Russian vaccine injected into me No thank you Putin Give it your friend Modi,1
1293224322685980672t,I would rather have the Russian vaccine than the Bill Gates Fauci China vaccine,1
1301889588701528064t, LOLOLOL because it gave people COVID Who would trust a Russian vaccine,1
1347559658354053121t, So let them take the Russian vaccine Oh maybe not a good idea the Russians have a history of poisoning people who dont agree with them,1
1335874248489971712t,  Blame russia Im not taking a vaccine pfizer has been given protection from legal action for ,1
1293185697575133191t,I woudnt take a Russian vaccine even if I am dying of COVID19 ino Mrna nvax regn,1
1401714861307006983t,Columbia University is requiring an Indian student who was vaccinated with two doses of Covaxin to revaccinate with a different vaccine How can this be for real ,1
1357309337983569920t, Chinas vaccine is very dangerous it has been banned in many south American countries Chinese vaccine is spreading more Corona virus in people who is taking Chinese vaccine Please take care of your family ,1
1355265665712709633t, Well not the pfizer vaccine for sure It comes from belgium,1
1331065354035015684t, Vaccine from american Pfizer will cause a gene mutation in billions This must be stopped before its too late Americans like to conduct experiments like nuclear explosions in Japan We know ,1
1319951448684232704t, Buy a new kettle for example well not from Wales  it comes with a 12 months warranty against defects by law Get a rushed vaccine and the company making the vaccinehave been granted full indemnity from any future prosecution relating to any vaccine related injuries,0
1300292349331943425t,  Lets wear masks and shut down the economy until all obese people are fit and thin or until they can get their asses jabbed with the GatesFauci Chinese Virus Vaccine Is that what we should do,1
