ID,tweet,ineffective
1432777842761342981t,      Eh thats nonsense mrna has been used loads Youre referring to a SARS vaccine trial which wasnt mrna and didnt kill the animals You dont even know the nonsense youre repeating No they are not better off doing that by a huge margin No there are not lots of se,0
1265421344360919040t, Vaccine gang dont want any cure for Corona virus This is the reason they are pushing wrong information about Hydroxycloroquine ,0
1389229467701235714t,MRNA BNTX And NVAX down 10 Wow Didnt you know Theyre going to dose every man woman and child worldwide every year with a covid vaccine but definitely not the Novavax one The Variants and boosters for me but not for thee investment thesis,1
1356907181115912194t,   Sharron thinks all athletes and fans should be vaccinated You see Sharron thinks we all should be just to leave our house So my Q to Sharron is why do want to vaccinate healthy people Should those who have had covid  be vaccinated Why are you pushing untested vaccine,0
1342840494167121920t,More frightening Uncertainty that RNA vaccines will work against the new covid19 variant I think it was Pfizers CEO who said would take 6 weeks to modify How many more billions or rather trillions would that cost No refund for the current vaccines ,1
1352738662430212097t,I hear Hank Aaron died from the CoVid vaccine and didnt HAVE CoVid,0
1374468260104564743t,In multiple ways the data and methodology for this vaccine keeps getting questioned Is there fire behind the smoke AstraZeneca used outdated and potentially misleading data that overstated the effectiveness of its vaccine independent panel says ,1
1365834276634128385t,No That is a violation of a persons civil rights and the Constitution There is no provision for forced inoculation in the Constitution There is no such thing as a shame bucket and a person who is pro vaccine has no special right to force it on others,0
1366017072002703362t,A nation of scientifically illiterate bedwetters happy to accept fudged figures  draconian restrictions on our freedoms for a virus with 999 recovery rate for most people desperate to swap natural immunity for a corporate vaccine in return for a normal forcibly removed,0
1336524628974505986t,  In the meantime the UK carry on injecting the elderly with a Pfizer and BioNTech Covid Vaccine Containing Nano Tech  THIS NEED TO STOP ,0
1318708850061680640t,  You might want to ask why theyre SO desperate to vax 7 billion people for a virus with a 9998 recovery rate Its not for health Please research This is the darkest con ever Did you know Gates negotiated a 100 billion contact tracing contract 6 months before COVID,0
1423282458238226439t,  officially named it the Trump vaccine The vaccine trials were completed and Pfizer published their findings in December of 2020 Early in the month The first thing that they have to prove is that the vaccine is safe and doesnt have serious side effects Thats when they go,0
1286961746557702145t, I fear MandatoryMasks are simply a distraction from what is coming  MandatoryVaccines We must stop being distracted by what is essentially a stepping stone that isnt even being enforced and start to gather some meaningful opposition against the latter,1
1338850529410048000t,   Thats just idiotic How does herd immunity apply when Pfizer own CEO says the virus can still be transmitted to people even after being vaccinated,1
1430812707255554050t,Channel 7 journalist hospitalised with pericarditis after Pfizer vaccine Just like 275 Israelis who developed Myocarditis after pfizer vaccine  via ,0
1343686349149245441t,  I question this theory Pfizer vaccine is not a vaccine consisting of a foreign protein that stimulates antibody production Rather its a genetic engineering tool that hijacks protein synthesis by ribosomes which start producing a foreign protein Side effects could differ,1
1378824542941024258t,   The vaccine doesnt stop transmission so a vaccine passport doesnt make sense Covid has a survival rate of 9995 get some perspective,1
1335231090085150720t,   WE DONT NEED A STUPID VACCINE WHICH NEEDS 42 DAYS TO GIVE IMMUNITY MODI BABA PLEASE ACT WISE AND BRING A great vaccine may be like pfizer,1
1333868796285648896t, A vaccine for a virus with a 99 survival rate But the most alarming fact about the new PfizerBioNTech gene edited vaccine is that the gene edited mRNA for human vaccine application has never before been approved  ,0
1325944710712631296t,Help me out here Everyone excited that the new COVIDScare vaccine has a 90 prevention rate allowing only 10 infection Currently only 10409755 case out of 33500000 people is a 3 infection rate How is that better,1
