ID,tweet,mandatory
1302274273130749953t, Nobody is going to take the stupid vaccine No health worker will be force to take it either The biggest Eruption of the health industry is forcing workers to take Bad unproven vaccine that could Fuk up many lives forever I would rather have covid again than to take a vaccine,1
1449500359861305351t, A condition for the sale of their vaccine by Pfizer is that the company is given FULL INDEMNITY that if they kill or maim anyone them they wouldnt be held responsible the government would be,0
1376859140967034881t,Vaccine passports are Fascism in full effect You will not be able to do ANYTHING without one Stop this Orwellian nonsense NOW,1
1253778774828765189t,  Trudeau wants force canadians to accept compulsary vaccination with RFID ship MK Ultra project to brainwash people should work because he needs remove guns to install his dictatorship and a stupid man shot people,1
1285933038669631488t,   Anyone getting the COVID vaccine is likely to get this or worse,0
1373065410283724802t, You are one sick puppy pushing a vaccine on an elderly person that has already seen off the flu  I mean the covid,1
1297615833984667648t,   Yet most of them still here in existence Remember the Ebola outbreak under Obama So you got that See vaccines dont stop the viruses or diseases With Covid it was a new mutated strain No one had a vaccine I wouldnt take it anyway and even with a vaccine Cont,0
1324269401265201158t,Pfizer is about to unleash hell in the name of profit  reckless endangerment  Pfizer could haul in 35B in 2021 from COVID19 vaccine analyst ,0
1366991728436150273t,Patient with underlying disease dies after getting AstraZeneca COVID19 vaccine in SouthKorea  ,0
1427121597517766669t,  Disappointed to see a new Sinovac trial with addition of genetic adjuvant CpG 1018 Supporters of that adjuvant dont seem to get idea of a traditional vaccine And signals for cardiac events in HeplisavB vaccine not resolved because the follow up study only required one dose,0
1294099870312103938t,  True if you want the vaccine just do your research and dont choose the Moderna one from Dr Fauci and the National Institute of Health Medical access cant be free I think you mean a single payer system Do you believe in any restrictions to access,0
1364365695287513089t,Have you heard of the Nuremberg Code Nazi VOLUNTARY CONSENT IS ESSENTIAL No doubt you would welcome concentration camps and gas chambers for those who chose not to take the depopulation vaccine ,1
1441591491080724480t,CNBC CDC director defends unusual decision on Pfizers Covid boosters This was a scientific close call unusual No Totally usual But the choice is easy when your masters want bigger profits You never follow the science Always follow the money,0
1354867879720734733t,  I cannot WAIT for the first successful legal case of enforced vaccines Its going to be Biblical PS Has anyone seen the Pope lately after his alleged arrest for kiddie fiddling Italian govt latest to fall after Dutch Kuwaiti Estonian  Russian,1
1328323263710322690t,  Its time to Expose the Truth about Covid 19 and to Rage Against The Mandatory Vaccines    ,1
1331244481698537477t,Can somebody explain what does 95 vaccine efficiency stand for if not for efficiently stop the virus Only for stock growth Moderna boss says COVID19 vaccine not proven to stop spread of virusso even after vaccination life may not get back to normal ,0
1370752168123191301t,Medical Examiner Not Jumping to Conclusions After Utah Mom Dies Following COVID19 Vaccination  via  Dont take the Vaccines if you want to live For some odd reason The Chinese can now monitor you after the Vaccine ,0
1288502136859275267t, That says a whole lot You have liberals pushing a vaccine and you can already see the framework for proof of vaccine required to enter this establishment yet 70 of Americans wouldnt take it Means even DEMOCRATS dont believe the COVID hype Thats huge,1
1333514297469775872t, Whatever happened to a persons medical history being private Do they get to override religiousethical beliefs on the contents of this vaccine Many questions that need answering before state sponsored discrimination starts,1
1379829594795180035t,Very rare blood clots found in patients who tend to be women younger than 60 may have a possible link to AstraZenecas COVID vaccine The European Medicines Agency said the vaccine may trigger an immune response that leads to the clots ,0
1248975504922869760t,  I already know I wouldnt be able to go around uncle johnI wouldnt say Im antivaxx Im just open minded about it and if someone chooses to vaccine or not thats up to themI just dont know how I feel about this covid vaccine shit,1
1333457287642492934t,Just heard on news that it wont be compulsory to be vaccinated but shops etc might require proof you have Fuck right off You do not show your medical records just for a bloody pint You try that and you lose business for ever,1
1376717327102803968t, I believe the vaccination card is used to track the manufacturer and lot number of the vaccine one receives so as not to cross manufacturers Absolutely zero chance Im carrying that around in my wallet   Two separate issues If govm mandates its unconstitutional,1
1376533389268897795t,  Congratulations Elderly dying off following vaccination and you want to make it difficult to work and enter establishments with being vaccinated ,1
1364608038515081218t,  Yup We already have brown shirts ratting people out Soon government will be rounding up people who refuse to take the vaccine and put them in concentration camps SENSORED please replace concentration camps with governemtbsanctions quarantine centers,1
1377113044019343365t,many reasons people died from the vaccine itself ure blind,0
1355612876086493187t,And oh I am also a diabetic 48yr old African American yet to be vaccinated Whats your take considering the suggestion you just pushed on ,0
1293581297605017608t, Hey  Trump admin is funding bio weapons technology masked as vaccine research by Moderna Joint Chief is involved along with DARPA trump supports the deep state ,0
1326762814934020097t, Of course it had to be better than Pfizers 90 Just wait another vaccine will come out as 95 effective and Russia will be like oh wait no ours is 98 now,0
1354195872687468544t, Dont care business as usual for me no mask no restrictions see friends and family  and stick ya vaccine where the sun dont shine ,1
1320278627397885952t,FDA refused continuation of AstraZeneca trial after three pauses 1 patient developed MS 2 Patient developed Transverse myelitis 3 Brazil volunteer died Rush for results could lead to inferior Covid vaccine say scientists ,0
1318708850061680640t,  You might want to ask why theyre SO desperate to vax 7 billion people for a virus with a 9998 recovery rate Its not for health Please research This is the darkest con ever Did you know Gates negotiated a 100 billion contact tracing contract 6 months before COVID,0
1305506691308564480t,First ones to receive it should be the family members of Pfizer reps and of govt officials pushing this through at such a pace,1
1377256788463120385t,AstraZeneca Vaccine Suspended Again in Berlin  Munich also suspended in Canada but totally safe when used in Britain I dont think so Are  and the gang lying to us again so that Boris and Matt can win their international vaccine pissing contest JustAnotherFlu,0
1271919747039289351t,   I get vaccinated against influenza every year I am going to run my own tests on this vaccination I will wait until I see what happens to those that accept the vaccination,0
1303567982568845312t,  IF YOU THINK VACCINE IS THE ANSWER TO COVID YOU WANNA LOOK AT THE REPORT BY MANY DOCTORS IN THE US BASED ON OVER A 100 STUDIES,0
1389335651301081089t,Denmark Decides Not to Use Johnson  Johnsons Vaccine Over Rare Blood Clots  bioethics,0
1316105596861587458t,It is absolutely HORRIFYING that the US Government is paying Moderna 65 MILLION to make MOBILE Covid19 vaccine FACTORIES Is the US government planning to force vaccinate EVERY person in the US by the military It certainly seems so,1
