ID,tweet,none
1331440609618505734t, Forceinjecting citizens with a fasttracked experimental liabilityfree vaccine is unethical and unconstitutional Medical mandates dont belong in a free society Let each person choose how they care for their bodies nomandates noforcedcovidvaccines,0
1363092320371937280t,Because flu was conflated with Covid 18 in the world wide media scam and the CDC and other institutions have not isolated the C19 virus so there can be no vaccine ONLY AN INJECTION,1
1344669997868724225t, Havent heard the full account but caught a bit of it on the news The Pfizer vaccine has only been tested and certified under one dosing regime so this is ridiculous no matter the reason,0
1370854842495815681t,    Ohtheyve had many decades to figure out what causes vaccine injury but failed for some strange reason leaving billions to play Russian Roulette with their lives It then turns out they cant read CBCs properly or diagnose hypoxia or even simple macrocytosiscytosis Well,1
1322502536243326976t,   Of course hes not joking We all know this now Bill Gates paid a Chinese lab to take a strain of SARS and modify it to make Covid19 Then hes gonna introduce the vaccine for it that will kill MORE ppl then the virus did And hell make 200 BILLION profit from it,0
1346177233791062017t,  This doesnt mean that eventually the Bharat Biotech vaccine wont be proven to be effective but this approval is politically tainted IMHO and only undermines the credibility of the vaccine They should have either released more data or waited a couple of months,0
1352975777411846144t, I was born in that period The vaccine is not experimental although I will not take it In principle I do not support the Monarchy but it does provide a stable basis for democracy Im not a fan of the NHS and I detest the BBC I dont think my generation is brainwashed at all,1
1416020169298747394t, now I know why my mum has been so ill since the  vaccine no more will she be having what a waste of time it has all been it has not stopped transmission either ,0
1346487927614922752t,Some Moderna Vaccine Doses May Be Cut in Half to Accelerate Rollout Official  via  WHY BOTHER TAKE IT ,1
1306782746757525513t, It probably increases chance of  Covid test because the overamplified test is picking up remnants of the flu vaccine virus fragments I really wish this PCR scam would go mainstream already,1
1358667013124685824t,Like I said before COVID vaccine can pass me I am not vaccinating,1
1289203089669419009t,  Neither has a one shot vaccine Pfizer is an annual booster which kills compliance Merck is a one shot vaccine and in P3 in the US and UK and with latino blacks and elderly in the trials AZ and Pfizer failed to include minorities and elderly ,1
1339361251017801734t,Why is HHS running radio ads to encourage folks to get the COVID19 vaccine Who listens to radio a dead media VaccinesWork VaccinesSaveLives CovidVaccine CovidChristmas,0
1334558755661418496t,The British developed AstraZeneca vaccine being touted as a particularly good candidate for the third world is an attempt at mindcontrol to reassert dominance over the former colonies Prove me wrong ,0
1353789766542778368t, I have severe allergies I went into anaphylaxis the last time I had a flu shot I have been told not to take the vaccine Am I to be treated like a leper because I legitimately cannot take the vaccine,0
1336710253233127424t,  said they offered additional doses AFTER interim results and were REJECTED We dont want Astra zeneca or other vector vaccines instead of safer better mrna,1
1352380014189309958t,More  more evidence that we should NOT partake in the COVID vaccine an elected official who oversees the Montgomery Co Hospital District wrote on FB Another said she was antimask A 3rd shared a meme The ones selling the panic are the ones selling the vaccine,1
1329115294862815234t,I want to see certified evidence that top Pfizer executives have used the vaccine before they can release it to the public,0
1338850529410048000t,   Thats just idiotic How does herd immunity apply when Pfizer own CEO says the virus can still be transmitted to people even after being vaccinated,0
1355704258201612289t,My wife said Wendy Williams a guest on the Dr Oz Show shocked him by saying she wasnt getting a Covid vaccine He asked why and she said no trust She doesnt get flu shots OR the flu Oz timid mainstream all the way tried to shame her as a bad example but she held firm,1
1339397099838820353t,    If its that easy for you to obtain the pfizer COVID19 vax leaflet included in the box by all means post it youd be a hero instead of todays twitter prick Well wait  SCAMDEMIC2020,1
1336804579019812867t,You know where you can stick your vaccination And it wont be my fucking arse FDA publishes first peerreviewed report on Pfizer trail as Britain rolls out COVID vaccine  The New Daily ,1
1355818224307351559t,   you are brave or very drinky man if you take Sputnik vaccine,1
1394684981537017860t,13     17 May 2021 Hal Turner Radio Show  Connecticut Publishes Moderna COVID Vax Ingredients DEADLY POISON SM102  Not for Human or Veterinary Use   ,0
1355498839470448650t,   More people died in 2019 than 2020 in ireland so bullshit pandemicthe moderna vaccine has already been stopped in California due to its high mortality rate and my plan is simple go back to normal more people drown under 65 than die from coronavirus,0
1319974778871140353t, Next it will be internment camps for people who refuse to accept a vaccine when it comes out,0
1319641269119889411t,    No Im stating what you see them as just because people dont take the vaccine doesnt make them an anti Vaxer,1
1301793300479979521t,I really hope absolutely no one takes that COVID vaccine when it drops in November,1
1338905711724670982t, More vaccine bullshit,1
1336248752710045703t,   Yeah This is nuts and Im vulnerable but all sounds completely hypocritical and propaganda is through the roof today Boris giving Pfizer complete immunity from legal proceedings is very scary,0
1343686349149245441t,  I question this theory Pfizer vaccine is not a vaccine consisting of a foreign protein that stimulates antibody production Rather its a genetic engineering tool that hijacks protein synthesis by ribosomes which start producing a foreign protein Side effects could differ,0
1218105234137833472t,  Anti vaccination,1
1334708952655785985t,MRNA MODERNA HAS ZERO PREVIOUS RECORD OF VACCINE OR DRUG DEVELOPMENT YET COMES OUT WITH A UNTESTED TECHNOLOGY OF RNA CODING  WSJ REPORTS HERE OF POOR TRACK RECORD ,0
1330963335387418625t,  Ferguson Vallance  Whitty have just made billions today their 5m investment in the AstraZeneca vaccine has paid dividends,0
1352907522831605760t, Vaccine related I am beginning to think the elderly should not have at all,1
1263160689130160129t,  Vaccine is not guaranteed Millions were spent on a Corona virus vaccine in 20056 after SARS and MERS They only succeeded in creating a vaccine that killed you quickly if you were exposed to the live virus   We have a treatment and deterrent Hydroxychloroquine  FreeAmerica,0
1308405547763466242t, As long as positive tests from a faulty inaccurate PCR test continues to be considered Cases Covid19 will never go away until the global population takes the Moderna Covid19 vaccine and probably multiple doses of it Thats the end game,1
1365962216135090177t,  if it makes sense increases the vaccine administered numbers quickly and seems like they are doing a great job then no,1
1344522202713006080t,And then the COVID vaccine comes in two parts  Oh hell no,1
