ID,tweet,pharma
1421253385739636740t, Vaccine failures are euphemistically called breakthroughswhy What are they hiding There is no perfect vaccines and for whatever sake the current ones are for emergency use ONLYMeanwhile Pfizer Forecasts 335 Billion in Covid19 Vaccine Sales  WSJ ,1
1350018876042567686t,If you are 40 healthy  fit and have no conditions or situations that may put you at extra risk you DO NOT need a vaccine for covid19 0 risk from infection High asymptomatic  If youve had covid you have immunity The vaccine may not prevent transmission or infection,0
1382294574132039681t,Oregon calls for halt in use of Johnson  Johnson COVID19 vaccine  ,0
1298781391597928450t,  A3 Drs and scientists are not going to stand for a rushed vaccine If we dont feel comfortable with its safety profile we wont give it I also try to talk them through the why of how this is happening faster  our development is becoming more efficient SoMeDocs,0
1333087991175241728t,      Imperial College gaining free impartial NOT advertising for RNA vaccines Clearly theyre fuked if they cant get future funding for RNA vaccine research for staff at IC Or no Gates dosh,1
1350065228919275521t,A greater degree of transparency prior to the start of the vaccination programme is essential This is especially true for Covaxin for which phase3 safety and efficacy data are not yet available a group of scientists said ,0
1281652662501433344t, Corona virus the cold so why the big dealtheres a global campaign going now funded mainly by this evil Bill Gates throwing billions to promote this and force vaccines on the populousplease wake up   ,0
1228085814724354049t, Hard pass on poorly tested biologics all manufactured by felonious companies who have been caught and charged for hiding damaging data that resulted in thousands upon thousands of of deaths and untold injuries Merck Sanofi Pfizer and GSK are all felonious companies,1
1334385344553361408t,  Not as if that Trillion Dollar Company Pfizer has paid out Billions in compensation to Vax injured kids deaths and people is it Such a caring Saviour How remiss The Idiocy is rife Good Luck with that Syringe full of Poison youre going to need it,1
1426214488961921038t, ISRAEL DELTA 3rdJAB PFIZER Despite 3rd Jabs now in Israel  deaths up and cases up  DELTA has escaped the vaccines now the 3rd jab,0
1326606740956196864t,   Seat belts are typically good for the life of your car but vaccines may not be The Pfizer vaccine immunity term is unknown,0
1325917044135571456t,    Do you think Pfizer would spend millions of dollors creating a vaccine this quick if there wasnt a 195 billion dollar payday for 100 million vaccination from the government,1
1346649609498578944t,A Portuguese healthcare professional died unexpectedly two days after being administered the PfizerBioNTech coronavirus vaccine Sonia Acevedo 41 suffered a sudden death at her home on New Years Day 48 hours after receiving the injection ,0
1294101707819900934t, The CDC is a vaccine company 43 of its budget is from selling  distributing vaccines It owns 57 vaccine patents The FDA gets 50 of its budget from vaccine companies The NIH owns 50 of the Moderna COVID19 vaccine,1
1363899777683922946t,     Govt state news are the ones pushing state scientist to say 85 vaccine rate or natural resistance is needed to reopen economy even though lock downs are creating more death and the economy to collapse Right now 3 have Covid shot but other Canadians dont want the vaccine,0
1285546796224319489t,   My problem here is that Bill Gates donated a huge sum of money to Oxfordand Im not happy about anything hes involved in of course it could be that they want the vaccine when its ready,1
1270469462198816769t,  Would prefer to see this new technology of using messenger RNA in more widespread  timetested use before distributing to the masses Modernas Vaccine only showed 8 people who developed neutralizing antibodies in Phase 1 And then execs dumped 30mm in stock,1
1322177315363819521t, I was joking Mr Peng  Ok the true is maybe working there is cool but that doesnt mean the products are good  maybe they need to make again the pool after Moderna make their employees take their vaccine Hahahaha,1
1286428287556780032t,U DONT KNOW WHERE IT COMES FROM OR WHAT IT IS DONT KNOW HOW ITS BEING TRANSFERRED BUT U ARE MAKING A VACCINE NOW  I CALL BULLSHT Heres How Much Itll Cost To Get a Coronavirus Vaccine  Like the One Pfizer Is Producing for 195B ,1
1244388321012277249t,  New may be  But who brought it pushed it See how American drug companies spreadvirus n come out with vaccines doing exactly what chinese virus is doing Bill gates owns all vaccine companies all in the name of charity westerners have used charity like nobodys business,1
1376118866141720577t, Why not Suppose you think Hey hold on a second Is it such a great idea to be injected with an improperly tested unlicensed experimental vaccine,0
1280535807284002819t,Its ALL ABOUT THE MONEYNEVER BOUT TRUE HEALTHCan see the Hidden Agenda Dr Fauci   No to mandated poison and FREEDOM to CHOOSE Vaccine maker Novavax receives 16 billion from Operation Warp Speed ,1
1312101776238112774t,This is the totalitarian State gone crazy Vaccines only benefit BIG PHARMA Covid19like influenzawill require regularannualupgrades PE Noncompliance Should Incur a PenaltyNew England Journal of Medicine Calls4 a Mandatory COVID19 Vaccine ,1
1284864602195611650t,   Taking a vaccine rushed to market is crazy could have bad side effects that arent known as no long term testing to find themright now Id rather risk Covid than a non tested vaccine,0
1362032023574097920t,  Who would want to trust Johnson and Johnson vaccines,1
1298846810929324032t,I wouldnt take a vaccine this admin made available for a gazillion million dollars Id get covid again These clowns cant be trusted with that kind of science This only makes me more terrified they will rush a vaccine to make their own miracle,1
1331882067647471616t,  Thats why we shouldnt have a covid vaccine The people who already died deserve better,0
