ID,tweet,religious
1408163404959961095t,Tom Gorman Johnson  Johnson Severe Adverse Reaction Guillian Barre Syndrome  vaccineSideEffects,0
1370441526514450433t,this covid vaccine is a WASTE DO NOT GET IT i got mine two hours ago and it hasnt made me more trans ,0
1367328976318906374t,Catholic leaders in New Orleans and St Louis are advising Catholics that the COVID19 vaccine from Johnson  Johnson is morally compromised because its produced using cell lines developed from aborted fetuses  ,1
1367072228265836544t,Bishops address concern over Johnson  Johnson vaccines abortion link  Catholic News Service  vaccines vaccine,1
1352993373150437377t,Why would you give your 12 yr old a vaccine against a virus that 98 chance they wont even catch it Never mind get ill from it Isnt that like prescribing oxycodone for a hangnail,0
1361058319155126273t, Using the same counting method as dead from covid  how many dead from vaccine are we now at  Using the same computer modelling as dead from covid  how many dead from vaccine are we going to see by next week next month next year,0
1371663641385177089t,   That is my biggest concern Efficacy against new variants of covid is virtually nil If AstraZeneca is to tweak vaccine to make it more efficient shouldnt we wait for the improved version,0
1363914953686671362t,   Oh I totally believe Gates is in on this I do use DuckDuckGo and Im against the vaccine due to the possibility of severing our Godgiven DNA so I guess for religious reasons you can say But curious as to why  surgeons dont get sick I just have lots of questions,1
1298008862361096192t,Religious leaders question ethics of Oxford University developing coronavirus vaccine using cell lines from aborted foetus Sydneys Anglican Archbishop has written to Scott Morrison over concerns about a potential COVID19 vaccine ,1
1322683940885434369t, The oldest and the one behind them all vaccine is a sin,1
1382626152439767041t, supports the pause of the Johnson  Johnson COVID19 vaccine distribution Medical professionals highest obligation is to avoid knowingly inflicting harm on patients ,0
1432316506717761539t,Woman dies from possible rare side effect after receiving Pfizer vaccine ,0
1305516138172788736t,   You do t even show your face to voice Be the first to get vax before you open your mouth You do t have dominion on young people only yourself Natural Law Nobody is above the law of the creator,1
1306353666291572736t,  Why have you stopped talking about hydroxychloroquine and the fact that  in combo with zinc and azythromycin  CURES Covid1984 Why are you pushing the vaccine narrative What false prophets are you listening to,1
