ID,tweet,rushed
1368056400325337088t, Bear in mind if you get the vaccine you can still get Covid you can still carry it in your nose Then what is the freaking point of getting the vaccine Vaccines are supposed to keep you from getting a disease Why are more people not talking about this,0
1297985508153294848t,The unelected non licensed health expert who was sued for violating anti trust laws wishes to save us all with his magic needle Will you take the vaccine Seems to be a monopoly on treatment options here as well ,1
1339321308954447878t,THIS is alarming An anaphylactic reaction to substances is not the norm Modernas vaccine also uses mRNA technology but with a different fat material  ,0
1319951448684232704t, Buy a new kettle for example well not from Wales  it comes with a 12 months warranty against defects by law Get a rushed vaccine and the company making the vaccinehave been granted full indemnity from any future prosecution relating to any vaccine related injuries,1
1371842784882229257t, jrscovidvaccinesideeffects Dr Mike Hansen discusses the rare deaths after Pfizer vaccine but there is no established link so far Also a few rare nonfatal allergic reactions ,0
1352765517547892743t, Not taking the experimental vaccine Why has Dr Simone Gold been jailed telling the truth Why would I take a vaccine for a virus with 999 recovery rate Face diapers are a joke You the sheeple Wake up,1
1329085171312730115t, So Four things to note here 1 Pfizer went from saying Oct 27th they were no where near ready to nov 7th saying they had a vaccine 2 A vaccine IS NOT a cure 3 Dolly Parton is making a vaccine Designer Vaccines now 4 This is all about cooperations and money,1
1375004367665963008t,StopVaccinePassports because  well its not a vaccine Trades description act  false selling  BorisJohnsonOut EndTheFear EndTheLockdown,0
1333576796210651138t,     The OxfordVaccine was tested on 24000 people globally In 8 Billion you WILL see some side effects allergies reactions etc Long term safety results are unknown VirusResistance Needle injection CoronavirusUK CovidVaccine CivilLiability Garlic ,1
1287803677403643905t, If its something which can actually do more damage than the sniffles itself surely someone should be creating headaches Why push it so hard All healthy people normally dont get a flu vaccine why the sudden rush to push a fast tracked vaccine with unknown outcomes,1
1364706176349462528t,   Besides we still dont know if this particular vaccine is safe or not Informed consent is the stipulation and how can you make a informed decision if you dont have the necessary information,0
1415683401269485579t,BBC presenter Lisa Shaws husband Gareth Eve has called for the Astra Zeneca jab to be put on hold over safety issues Lisa Shaw died at the Royal Victoria Infirmary in May three weeks after being vaccinated ,0
1332515995253047301t,AstraZeneca eyes extra global vaccine trial as questions mount  via  Funny how how Hancock says they can start administering a untested vaccine in December hes not of sound mind never locking up permanently ,1
1376185766477508620t,you wouldnt have this problem if you get the vaccine comes with a microchip,0
1416040553083457540t, like for example injecting everyone with full spike covid vaccines known to be toxic when better options are available  novavax  RBD vaccines,0
1365275664136491015t,Children are low risk from SARSCoV2  yet psychopath  has created an app to make them scared for their lives while likening and normalising masks and vaccine passports for school to a trip to Disneyland This man is a danger to the world  has to be stopped Heinous ,0
1310614802054537230t,A DNA vaccine has never worked  and it has dangers of DNAintegration into the human genome unlike a mRNA vaccine like Moderna  which may not work but doesnt have that danger Pls dont hurry with it ,1
1360620160663519233t, If you factor in the method of counting dead FROM Covid how many dead are we up to from the vaccine,0
1334232104599756807t,Iwillgetvaccinated absolutely not   Catching covid in a life changing way or life threatening way is almost non existent for me  I am not old obese chronically sick  A rushed out vaccine is a lot more risky to me a game of Russian roulette basically   Count me out,1
1396407018605383685t,Why are you not being truthful  The 66 effectiveness of the Oxford AZ vaccine against the Indian variant announced by PHE last night is not highly effective Nor is the 33 effectiveness of one dose of either vaccine Stop being a government mouthpiece vaccines,0
1383974410751598592t,   a little bit instead of shrinking it to 0 with a vaccine You will get a Nobel prize the day you prove that None of the vaccines designed to prevent you from Covid19 infection Pfizer JJ and all vaccine makers have cleared this out from the DAY 1 Do some home work first,0
1356907181115912194t,   Sharron thinks all athletes and fans should be vaccinated You see Sharron thinks we all should be just to leave our house So my Q to Sharron is why do want to vaccinate healthy people Should those who have had covid  be vaccinated Why are you pushing untested vaccine,1
1407481729896624129t,  The FDA havent even approved AZ Oxford So the CDC will not be doing any efficacy studies of this vaccine,1
1353695107803971584t,      First Do we know if it was the vaccine that killed these people Second NO therapy is 100 safe It is always a matter of benefitcost analysis I agree that cases like these MUST be investigated I expect to be about 80millionth person to get 1st dose Im not worried,0
1454133271097344001t,Its Not Wise To Play Game With Human Life How Authority Approve Vaccine Which Is Not Fit For Approval  Cannot Play With Lives Of People By Directing Revaccination With Covishield Without Any Data SC  Download the TOI app now ,1
1329257865131876355t,  Scary  Dont have the Virus but die from the Vaccine Not sure about rushed Vaccines they usually take years to get right ,1
1352519599653347330t,Because the vaccine for polio came out some years after polio first started And yes we have modern tech but bruh the covid vaccine came out months after covid first appeared with little to no trials and were STILL seeing covid So please let the questions come,0
1303732393644355590t,  This is one mistake he  his campaign have been making He may be setting himself up for something really bad especially if its the Moderna vaccine at the forefront Its being rushed  skipping trials If things go bad it wont be Big Pharm or FDA taking the heat Be careful,1
