ID,tweet,unnecessary
1352711165386883076t,  Why would we need a vaccine for a mild flu People had better wake up,1
1375076595535339528t,  The vast majority have no need for any covid vaccine,1
1365618812545040386t, I disagree with mask wearing by the public as I believe it helps spread disease I declined to have the vaccine which is my personal choice although if others want it fine and I dont call people sheep,0
1445814499034861572t,Pfizer scientists admit on camera that natural immunity provides better protection against COVID19 than vaccines ,1
1266169565492449280t, I live in Toronto but grew up in Sask Covid19 is a hoax to sell vaccines Please do not go along with this fraud,1
1340935441265115136t, Never take the toxic vaccine This is a scam This asshole mayor is a deceiver Corona flu has a 9998 global recovery and mortality is no greater than the flu Be free spread and mix,1
1325912955649728512t,   Its about time you let the people of this country  get on with their lives we did not vote for a dictatorship This is a strain of flu ffs with a survival rate of 9998  the vulnerable know who they are they protect themselves from flu every year  LockdownsKill  ,1
1250566048639680512t, Justin and Bill have a Covid19 Vaccine test plan Mandatory Vaccines for Canada canpoli ,0
1288818792609570816t,     you can still get influenza even after having the vaccine thousands of people every year die from it this includes kids who are not dying from covid,1
1312014421036802048t,Positive COVID test for the President and his wife is an EXCELLENT OPPORTUNITY for the world to see that HYDROXYCHLOROQUINE HCQ  ZINC PROTECTS against CV19 ILLNESS DR FAUCI RELEASE HCQ for CV19 use and STOP THE NEEDLESS ILLNESSES  DEATHS FROM CV19 VACCINES NOT NEEDED,1
1361690942432927746t,Good only to implant their chips of course that is the entire purpose South Africa to share 1 million AstraZeneca Covid vaccine doses with continent as study says jab ineffective against local variant  RT World News ,0
1304470105896566784t, Bad dude Vaccine for the covid will change every cell in your body enabling the virus to destroy you And this is the leading virus to be considered Event 21 liars killers ,0
1354466561398960128t,   I dont buy critical role of vaccine in controlling pandemic It is only 1 of many options  Low Vitamin D itself is correlated with Covid hospitalization Many are cured through Ayurveda Siddha too Cases declining even b4 vaccine ,1
1334248049070256134t, I cant heip but feel though that those that take the vaccine are going to be effectively lab rats it takes years for true extent of side effects to be known the high concerns over vaccine side effects outweigh the risks of covid for me,1
1336833685102923776t, According to Pfizer it might be possible for a person who got vaccinated to transmit the virus to others even if they dont get sick themselves Whats the point I will not get vaccinated since I am not a member of a vulnerable population Ill take my chances with the virus,1
1365227438163247104t,  Its hilarious isnt itthey actually think this is the way out its the start Ive never been called an anti vaxxer because Ive never had a flu jab,1
1365426812973678598t, Oh no I dont trust Johnson  Johnson as far as I could throw their vaccine,0
1268314402391945216t, Complete BS Not only is the vaccine unnecessary and likely a means of trackingchippinginfertility but Modernas trials showed NO reduction in mortality only a small reduction in time to recovery,1
1374058517284405252t,   but the risks to healthy children are absolutely tiny still not enough info on potential long term effects Are you talking about the vaccine or the disease,1
1377281894547660803t, Not only that but there is literally no justification for it If youre vaccinated then you are protected against serious illness  ie illness that would hospitalise you soo not exactly sure why the vaccinated are so concerned about the unvaccinated,1
1429517092550844421t,1n I was speaking to an ex neighbor yesterday while the AntiVaccine protest march was taking place  Groote Schuur Hosp He is a 68 year old man who was vaccinated X2 with the Pfizer vaccine who has been short of breath for a while   VaccineRollOutSA,0
1249817637204316160t, Theyre trying to hide the fact that Hydroxychloroquine works for COVID19 in favor of the bill gates vaccine   Dont trust,1
1310557532923011074t,WAKE UP CORONA BOLOGNA ITS JUST THE FLU SOME OF THE PEOPLE WHO BELIEVE THIS PLANDEMIC WILL FALL DOWN AND WORSHIP THE ANTI CHIRST AND TAKE THE BILL GATES DNA VACCINE,1
1339939050971492352t,A Covid Vaccine Is Coming and Death Is Coming With It  LewRockwell ,0
1331949923688845312t,A skeptical point of view There is absolutely no need for vaccines to extinguish the pandemic which is effectively over Dr Mike Yeadon Pfizers former Vice President and Chief Scientist ,1
1349158881977659401t,          Im sorry to say I will never take a vaccine with Russian involvement,0
1298388318934257666t,  Yes cuz once they approve hydroxychloroquine gates vaccine wont be needed lol and they dont want that to happen  This needs to approved ASAP,1
1313032257003634688t, His goal is to turn himself into a fake hero by claiming he beat covid and change the narrative with a vaccine Hes a con artist and orchestrates a reality show,0
1264354966925381632t,COVID19 wont be cured There is no vaccine that will cure anyone An inoculation like a flu shot is also a longshot There is no preventative for any other coronavirus,1
1255464061250265090t,     You talking with me If yes we will not need a vaccine and probably will never succeed making one for this strain of Covid19,1
1290304230268342277t,Im not sure who needs to hear this but I will NEVER take a vaccine for COVID I dont care where its made This whole fiasco wmasks  destroying our economy over a virus w 99 survival rates is ridiculous I will do nothing to support it,1
1300456905387593729t,Im not antivaccine but when the people involved in creating a vaccine for Covid19 are on the revord advocating a massive reduction in the human population that concerns me,0
1337596971771514885t,    Pfizer as a company has a loonnng list of lawsuits reasons not to trust them Easy search and youll find it But dont rely on your news source to bring news like this to you Remember money speaks,0
1377329500351045636t, It works like this  they tell you whats going to happen in the hopes that youll you feel defeated and acquiesce without a fight Like the Vaccine passport not a great many pushed back when it was just talk However the govt are getting desperate as a great many have woken up,0
1321409351664492555t, But we dont need it for a mortality rate of 0049 and people have herd immunity They found Immunity in 3 of 1st 5 volunteers What they should have done is find out what people have it instead of vaccine Thats why Nationalisation ,1
1377018571255996418t,what the fuck do you need a vaccine for if you cant leave your house bro  youre 100  fuck it yolo at this point,0
1359094411003629569t,Many people which have received the Astra Zeneca vaccine against covid report that God have died in their life What utter shite UK to roll out a vaccine against God And that a totally unnecessary one,1
1331212667911090179t, Bill Gates says we can reduce the worlds population by 1015 with the right vaccines Covid19 is the beginning NeverVaxers NoVaccineForMe,0
1255085605496619008t,    The virus is fake news They need to pretend its real so they can give everyone a vaccine Trump knows this but cant say it directly but if you are awake you would hear,1
1251244613689585665t,Overall pushing for a vaccine for an unknown virus CoVid19 is very similar to the HIVAIDS drugsvaccine trials FDR caused more unnecessary deaths than HIVAIDS Fauci Birx  Redfield are the very people in charge of finding a vaccine for CoVid 19 after reading the thread,1
1443125678325604357t,SHOCKING VIDEO Johnson  Johnson Children Dont Need the Fcking Covid Vaccine  Unknown Repercussions  via ,1
1288136780252880896t,  I am fine with that What they are not gonna push is mandating it for kids to go to school This is being pushed through so fast Kids should be the last demographic to use this vaccine on I already am hearing it being thrown out there from parents in school meetings ,0
1272896071832911872t, When you prioritize science over profits Ill listen Until them science says you are willing to sign up for profits over lives,0
